ans,label
"-275.53674,284.58673","-274.0,280.0"
"-275.55682,284.5827","-274.0,280.0"
"-275.55682,284.5827","-274.0,280.0"
"-275.55682,284.5827","-274.0,280.0"
"-275.1309,283.8338","-274.0,280.0"
"-295.76755,289.26715","-274.0,280.0"
"-275.55853,284.57288","-274.0,280.0"
"-275.22958,283.96823","-274.0,280.0"
"-275.5156,284.4869","-274.0,280.0"
"-293.3655,240.41635","-274.0,280.0"
"245.4116,229.98553","263.5,280.0"
"224.52248,207.70123","263.5,280.0"
"220.88625,232.42865","263.5,280.0"
"224.37735,211.27939","263.5,280.0"
"298.81494,198.92642","263.5,280.0"
"237.47147,226.8146","263.5,280.0"
"266.32492,237.99335","263.5,280.0"
"272.23987,183.86949","263.5,280.0"
"276.57907,228.14151","263.5,280.0"
"269.65738,243.33838","263.5,280.0"
"281.8211,231.95871","263.5,280.0"
"-266.22488,1.6592497","-274.0,0.0"
"-276.45105,5.620683","-274.0,0.0"
"-278.31534,5.155725","-274.0,0.0"
"-257.2366,-7.341231","-274.0,0.0"
"-274.96335,3.8778012","-274.0,0.0"
"-262.49905,-14.021678","-274.0,0.0"
"-228.37807,64.28259","-274.0,0.0"
"-243.76338,-79.481476","-274.0,0.0"
"-259.7053,-3.8782527","-274.0,0.0"
"-301.0265,38.992954","-274.0,0.0"
"-37.266327,120.50778","-274.0,0.0"
"-229.0016,142.03954","-274.0,0.0"
"257.51328,7.7095237","263.5,0.0"
"277.3371,-10.08575","263.5,0.0"
"281.57318,16.704763","263.5,0.0"
"246.16609,-68.97416","263.5,0.0"
"128.57996,-36.863377","263.5,0.0"
"216.95615,-19.712656","263.5,0.0"
"59.319817,-25.476778","263.5,0.0"
"-60.874214,-97.50338","263.5,0.0"
"146.09525,-46.758007","263.5,0.0"
"199.203,1.799703","263.5,0.0"
"198.5508,-34.98569","263.5,0.0"
"210.93198,-4.1970468","263.5,0.0"
"242.44557,-34.2868","263.5,0.0"
"244.84683,-35.899685","263.5,0.0"
"-11.90248,-41.94769","263.5,0.0"
"-15.030387,-74.9481","263.5,0.0"
"157.8772,-94.91686","263.5,0.0"
"-206.4458,-193.53162","-274.0,-317.0"
"18.079088,-42.242474","-274.0,-317.0"
"-99.67201,-216.11261","-274.0,-317.0"
"-68.36067,-161.89984","-274.0,-317.0"
"-64.63163,-140.04942","-274.0,-317.0"
"-162.59448,-182.25977","-274.0,-317.0"
"-68.49812,-129.1351","-274.0,-317.0"
"-274.65646,-311.81415","-274.0,-317.0"
"-238.11406,-333.3171","-274.0,-317.0"
"-117.61595,-138.94","-274.0,-317.0"
"-89.89736,-112.88017","-274.0,-317.0"
"-221.87389,-263.32294","-274.0,-317.0"
"-194.12483,-249.50546","-274.0,-317.0"
"137.69803,-83.509636","-274.0,-317.0"
"-235.71916,-294.74094","-274.0,-317.0"
"-271.66043,-305.31213","-274.0,-317.0"
"92.004234,64.78774","-274.0,-317.0"
"281.67654,-313.02066","263.5,-317.0"
"283.30774,-308.51794","263.5,-317.0"
"284.3763,-313.5047","263.5,-317.0"
"283.19934,-309.01517","263.5,-317.0"
"283.0941,-297.61557","263.5,-317.0"
"280.8291,-314.22305","263.5,-317.0"
"281.17545,-308.9066","263.5,-317.0"
"209.50061,-341.2473","263.5,-317.0"
"289.66403,-283.45767","263.5,-317.0"
"284.47772,-309.01605","263.5,-317.0"
"284.97488,-284.98865","263.5,-317.0"
"318.4715,-270.40842","263.5,-317.0"
"277.08643,-307.855","263.5,-317.0"
"285.79514,-312.39972","263.5,-317.0"
"288.22794,-311.02942","263.5,-317.0"
