ans,label
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0000000000001,279.99999999999983","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-273.62936947127116,279.84951790853285","-274.0,280.0"
"-274.0000002456766,279.99999971576545","-274.0,280.0"
"-274.00000008603973,279.9999999004577","-274.0,280.0"
"-274.0000000112794,279.99999998695046","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-273.99999592665705,279.99993354023206","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0000000000001,279.99999999999983","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0000000000001,279.9999999999999","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.00000471942764,279.9998522038661","-274.0,280.0"
"-274.0000000016443,279.9999999980976","-274.0,280.0"
"-274.00000157768596,279.99999817471695","-274.0,280.0"
"-274.0000000001738,279.99999999979894","-274.0,280.0"
"-274.0000037008793,279.99999571761737","-274.0,280.0"
"-274.0000000001485,279.9999999998282","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-273.9999103127308,279.99284058086937","-274.0,280.0"
"-273.99998459894346,279.9916910064913","-274.0,280.0"
"-273.9999103127308,279.99284058086937","-274.0,280.0"
"-274.0000020450608,279.99999763399904","-274.0,280.0"
"-273.24697965236254,277.24293882263555","-274.0,280.0"
"-273.99998929342865,279.81853279299156","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-80.01750841643661,91.20086365379393","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
