ans,label
"-273.3535,271.6673","-274.0,280.0"
"-31.734667,225.81912","-274.0,280.0"
"233.96501,195.19363","263.5,280.0"
"122.07654,163.75629","263.5,280.0"
"-273.3535,271.6673","-274.0,280.0"
"-31.734667,225.81912","-274.0,280.0"
"233.96501,195.19363","263.5,280.0"
"122.07654,163.75629","263.5,280.0"
"-273.3535,271.6673","-274.0,280.0"
"-31.734667,225.81912","-274.0,280.0"
"233.96501,195.19363","263.5,280.0"
"122.07654,163.75629","263.5,280.0"
"-273.3535,271.6673","-274.0,280.0"
"-31.734667,225.81912","-274.0,280.0"
"233.96501,195.19363","263.5,280.0"
"122.07654,163.75629","263.5,280.0"
"-273.3535,271.6673","-274.0,280.0"
"-31.734667,225.81912","-274.0,280.0"
"233.96501,195.19363","263.5,280.0"
"122.07654,163.75629","263.5,280.0"
"-273.3535,271.6673","-274.0,280.0"
"-31.734667,225.81912","-274.0,280.0"
"233.96501,195.19363","263.5,280.0"
"122.07654,163.75629","263.5,280.0"
