ans,label
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.00000000000017,279.99999999999983","-274.0,280.0"
"-274.0,280.0","263.5,280.0"
"233.56006713179204,197.8103267687593","263.5,280.0"
"235.6259245238084,209.34547519184616","263.5,280.0"
"246.38796201092464,221.83549115557798","263.5,280.0"
"237.6037687263597,195.33018061929033","263.5,280.0"
"-102.94014178007842,47.657556764248056","263.5,280.0"
"-118.04567725830441,41.49404485576429","263.5,280.0"
"229.76453323065653,185.053836640378","263.5,280.0"
"249.7684926210668,212.76926209362682","263.5,280.0"
"134.06829781318174,141.30240527665046","263.5,280.0"
"252.69666881998455,228.92557238877998","263.5,280.0"
"174.61203061274864,121.6024924385274","263.5,280.0"
"222.0239829984821,139.30969287633343","263.5,280.0"
"218.79956879405108,139.07226021474708","263.5,280.0"
"21.793974277446978,-39.0271049097646","263.5,280.0"
"212.81668179878034,123.69689270341769","263.5,280.0"
"235.10669785615755,166.6664168256102","263.5,280.0"
"-130.07379447325866,28.8073453228144","263.5,280.0"
"243.97957830415453,184.3500575440903","263.5,280.0"
"-181.7009993078231,15.331552996439342","-274.0,0.0"
"-270.76238811952203,0.46246457501058247","-274.0,0.0"
"-273.72826236719584,0.026427544716220774","-274.0,0.0"
"-273.6635825728711,0.027747185154814856","-274.0,0.0"
"-271.3325913921321,0.2845822683416832","-274.0,0.0"
"-273.6714021400259,0.0212655083553821","-274.0,0.0"
"-273.1347596680351,0.07556492094197201","-274.0,0.0"
"-273.71712525163616,0.020601234662668878","-274.0,0.0"
"-273.7029098322204,0.02730728040134707","-274.0,0.0"
"-268.78675565500527,0.7406116877650246","-274.0,0.0"
"-273.3592317361674,0.05524214329098986","-274.0,0.0"
"-270.0561152972152,0.6326108527076333","-274.0,0.0"
"-270.0081582401567,0.5409373193922457","-274.0,0.0"
"-273.3388831105196,0.06735104348806736","-274.0,0.0"
"-272.28051930422737,0.23731581018159537","-274.0,0.0"
