ans,label
"-268.018,282.0749","-274.0,280.0"
"-268.0172,282.077","-274.0,280.0"
"-268.0169,282.077","-274.0,280.0"
"-268.0172,282.077","-274.0,280.0"
"-268.06558,282.0564","-274.0,280.0"
"-268.0761,282.18872","-274.0,280.0"
"-268.01685,282.07605","-274.0,280.0"
"-268.0176,282.077","-274.0,280.0"
"-278.80447,267.86868","-274.0,280.0"
"-268.02823,282.02377","-274.0,280.0"
"257.21216,271.78238","263.5,280.0"
"240.82846,310.7503","263.5,280.0"
"207.57214,207.03365","263.5,280.0"
"220.46336,251.82542","263.5,280.0"
"299.52765,154.54996","263.5,280.0"
"212.39224,168.6269","263.5,280.0"
"256.26138,220.01488","263.5,280.0"
"330.16037,135.50731","263.5,280.0"
"266.67297,225.15999","263.5,280.0"
"265.2769,207.65984","263.5,280.0"
"260.64996,238.65572","263.5,280.0"
"-307.3716,-37.782936","-274.0,0.0"
"-278.78763,0.26161835","-274.0,0.0"
"-281.8983,1.2006109","-274.0,0.0"
"-275.30264,4.220132","-274.0,0.0"
"-278.768,0.34550616","-274.0,0.0"
"-275.46277,5.1529512","-274.0,0.0"
"-262.75693,53.4759","-274.0,0.0"
"-344.52292,-5.664653","-274.0,0.0"
"-258.7819,1.4905744","-274.0,0.0"
"-358.98163,-54.35283","-274.0,0.0"
"57.926594,211.5294","-274.0,0.0"
"23.072338,154.77414","-274.0,0.0"
"225.16902,-12.580207","263.5,0.0"
"255.6066,-6.579656","263.5,0.0"
"270.90857,4.684874","263.5,0.0"
"277.6645,-19.102419","263.5,0.0"
"16.313025,-43.145092","263.5,0.0"
"156.34372,-46.070496","263.5,0.0"
"145.34845,-0.8526598","263.5,0.0"
"-48.95531,-58.18918","263.5,0.0"
"77.25876,-69.54078","263.5,0.0"
"175.13777,-49.17951","263.5,0.0"
"142.57404,-56.507473","263.5,0.0"
"170.45625,-37.317764","263.5,0.0"
"222.79031,-20.433666","263.5,0.0"
"216.50185,-33.790337","263.5,0.0"
"-35.260315,-50.57182","263.5,0.0"
"59.857994,-107.05687","263.5,0.0"
"75.724785,-82.37081","263.5,0.0"
"-211.01692,-239.87839","-274.0,-317.0"
"-165.3186,-207.59792","-274.0,-317.0"
"-37.223724,-4.9632797","-274.0,-317.0"
"-111.86967,-138.70999","-274.0,-317.0"
"-105.29521,-133.71684","-274.0,-317.0"
"-158.15016,-183.62599","-274.0,-317.0"
"-120.01068,-96.64413","-274.0,-317.0"
"-280.70248,-323.277","-274.0,-317.0"
"-270.28452,-310.1808","-274.0,-317.0"
"-85.07088,-90.82679","-274.0,-317.0"
"-83.674194,-100.25512","-274.0,-317.0"
"-281.79004,-312.37598","-274.0,-317.0"
"-238.88255,-291.3729","-274.0,-317.0"
"34.561745,-59.542183","-274.0,-317.0"
"-166.48846,-204.3408","-274.0,-317.0"
"-261.37766,-259.08984","-274.0,-317.0"
"258.1325,202.06781","-274.0,-317.0"
"283.05206,-330.1523","263.5,-317.0"
"277.4778,-319.5888","263.5,-317.0"
"278.8277,-316.11554","263.5,-317.0"
"279.75494,-293.92255","263.5,-317.0"
"261.99597,-318.3989","263.5,-317.0"
"278.0633,-325.84122","263.5,-317.0"
"275.1297,-326.90536","263.5,-317.0"
"271.6667,-332.44058","263.5,-317.0"
"256.3508,-318.16522","263.5,-317.0"
"269.84366,-305.1643","263.5,-317.0"
"278.63443,-299.10312","263.5,-317.0"
"250.61874,-254.22385","263.5,-317.0"
"242.51436,-286.44458","263.5,-317.0"
"278.33594,-330.49646","263.5,-317.0"
"261.47644,-327.00146","263.5,-317.0"
