ans,label
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0000153706608,279.99969754128006","-274.0,280.0"
"-274.0000000000009,279.999999999999","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0000003312249,279.9999996167938","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.00000456907344,279.999994713879","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.00000319339034,279.9999963054547","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-273.99997903428954,279.98991748499304","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-273.99967832026095,279.99693991263587","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
