ans,label
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-273.9839798642271,279.88569420583207","-274.0,280.0"
"-274.00000009257144,279.99999989266627","-274.0,280.0"
"-274.0000000000453,279.99999999994753","-274.0,280.0"
"-274.00000000001717,279.99999999998016","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-273.99981036564776,279.99928517866334","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.00000020624805,279.9999997613738","-274.0,280.0"
"-274.0000000000029,279.99999999999665","-274.0,280.0"
"-274.00000000405544,279.9999999953073","-274.0,280.0"
"-274.00000000000273,279.9999999999968","-274.0,280.0"
"-274.0000000000001,279.9999999999999","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-273.9998207295274,279.99471993718237","-274.0,280.0"
"-274.0000000715753,279.99999991719164","-274.0,280.0"
"-273.99993776550554,279.99601116519625","-274.0,280.0"
"-274.00000000002905,279.9999999999664","-274.0,280.0"
"-273.78681080409683,279.09629713740384","-274.0,280.0"
"-274.0000000870677,279.9999998992683","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-268.7036315188925,273.2556841911719","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
"-274.0,280.0","-274.0,280.0"
