ans,label
"-289.22394,301.66547","-274.0,280.0"
"-290.03934,296.03333","-274.0,280.0"
"-286.39166,293.17154","-274.0,280.0"
"-291.3642,297.51422","-274.0,280.0"
"-290.6566,298.31262","-274.0,280.0"
"-290.21033,304.22858","-274.0,280.0"
"-289.74545,298.8452","-274.0,280.0"
"-293.13098,297.3214","-274.0,280.0"
"-291.7818,297.86877","-274.0,280.0"
"-293.60526,295.779","-274.0,280.0"
"262.8343,243.38326","263.5,280.0"
"231.8476,233.74342","263.5,280.0"
"195.24438,181.59837","263.5,280.0"
"190.07253,218.38689","263.5,280.0"
"292.10135,180.24991","263.5,280.0"
"253.15361,179.47566","263.5,280.0"
"253.429,241.00148","263.5,280.0"
"224.07573,156.66498","263.5,280.0"
"242.67212,211.42876","263.5,280.0"
"276.87418,209.17924","263.5,280.0"
"267.93903,218.93163","263.5,280.0"
"-263.43317,-16.186941","-274.0,0.0"
"-297.9182,-16.028559","-274.0,0.0"
"-294.59082,-4.5282946","-274.0,0.0"
"-281.13797,18.805082","-274.0,0.0"
"-270.6189,-12.937808","-274.0,0.0"
"-267.61,-13.228063","-274.0,0.0"
"-159.59581,0.49479175","-274.0,0.0"
"-279.79684,-20.426748","-274.0,0.0"
"-259.6311,20.515537","-274.0,0.0"
"-325.47208,-117.75258","-274.0,0.0"
"-132.22389,48.511074","-274.0,0.0"
"-48.408638,105.35941","-274.0,0.0"
"228.09247,9.900821","263.5,0.0"
"248.6166,-4.9336634","263.5,0.0"
"198.83295,-18.681498","263.5,0.0"
"233.33437,-46.822113","263.5,0.0"
"67.30878,-82.655396","263.5,0.0"
"188.5307,-48.05679","263.5,0.0"
"60.528294,-108.46967","263.5,0.0"
"53.01579,-78.60034","263.5,0.0"
"121.20078,-85.02591","263.5,0.0"
"159.24556,8.3480215","263.5,0.0"
"187.89088,-41.900772","263.5,0.0"
"165.42944,-30.72861","263.5,0.0"
"196.81746,-19.748919","263.5,0.0"
"214.97003,-51.613712","263.5,0.0"
"22.607073,-131.73465","263.5,0.0"
"117.71063,-146.75075","263.5,0.0"
"124.22697,-136.59686","263.5,0.0"
"-47.98847,-155.81224","-274.0,-317.0"
"41.113747,-59.14203","-274.0,-317.0"
"-212.76236,-176.24313","-274.0,-317.0"
"-105.481964,-131.1053","-274.0,-317.0"
"-125.3609,-145.93468","-274.0,-317.0"
"-115.29111,-173.75606","-274.0,-317.0"
"-141.13643,-119.13435","-274.0,-317.0"
"-272.1716,-292.028","-274.0,-317.0"
"-292.95236,-331.3789","-274.0,-317.0"
"-88.32116,-69.05429","-274.0,-317.0"
"-86.346535,-65.01518","-274.0,-317.0"
"-255.82953,-296.05338","-274.0,-317.0"
"-149.79135,-164.42068","-274.0,-317.0"
"-40.771397,-4.569772","-274.0,-317.0"
"-242.77098,-283.78903","-274.0,-317.0"
"-212.81604,-208.07246","-274.0,-317.0"
"135.83115,190.89531","-274.0,-317.0"
"285.31677,-335.13846","263.5,-317.0"
"276.83246,-325.77383","263.5,-317.0"
"282.51395,-335.25574","263.5,-317.0"
"256.24634,-296.3685","263.5,-317.0"
"281.03665,-328.76404","263.5,-317.0"
"278.6818,-326.069","263.5,-317.0"
"260.98483,-306.90778","263.5,-317.0"
"283.0767,-328.239","263.5,-317.0"
"270.40332,-298.81863","263.5,-317.0"
"282.76358,-328.8947","263.5,-317.0"
"276.4226,-325.0639","263.5,-317.0"
"284.8753,-296.7608","263.5,-317.0"
"256.89758,-315.87036","263.5,-317.0"
"283.29102,-331.53595","263.5,-317.0"
"282.04803,-330.303","263.5,-317.0"
