ans,label
"-273.82706,279.3383","-274.0,280.0"
"-266.40964,271.71634","-274.0,280.0"
"-275.5086,282.472","-274.0,280.0"
"-268.58508,273.75287","-274.0,280.0"
"-270.55682,274.15778","-274.0,280.0"
"-267.50787,273.07837","-274.0,280.0"
"-272.49518,271.2655","-274.0,280.0"
"-270.73016,279.5686","-274.0,280.0"
"-273.80334,272.48267","-274.0,280.0"
"-275.20798,275.45486","-274.0,280.0"
"-267.12408,274.19086","-274.0,280.0"
"-259.3138,267.0496","-274.0,280.0"
"-284.95044,277.31946","-274.0,280.0"
"-266.54904,268.76697","-274.0,280.0"
"-275.02472,278.67432","-274.0,280.0"
"-266.4565,274.97293","-274.0,280.0"
"-276.4398,286.75085","-274.0,280.0"
"-268.89856,277.22052","-274.0,280.0"
"-272.06082,273.2059","-274.0,280.0"
"-266.88837,270.52942","-274.0,280.0"
"-275.6487,276.43594","-274.0,280.0"
"-273.76422,282.44223","-274.0,280.0"
"-276.41388,271.69452","-274.0,280.0"
"-269.39624,274.46277","-274.0,280.0"
"-257.97705,275.7818","-274.0,280.0"
"-271.29214,272.58627","-274.0,280.0"
"-274.01782,272.1332","-274.0,280.0"
"-272.61307,270.79807","-274.0,280.0"
"-272.06082,273.2059","-274.0,280.0"
"-263.65106,282.2154","-274.0,280.0"
"-269.75555,278.10767","-274.0,280.0"
"-270.6743,272.94974","-274.0,280.0"
"-272.8221,274.91885","-274.0,280.0"
"-273.73553,282.00974","-274.0,280.0"
"-271.23755,275.16254","-274.0,280.0"
"-272.63147,277.507","-274.0,280.0"
"-275.79852,284.4979","-274.0,280.0"
"-275.6313,276.4279","-274.0,280.0"
"-260.33398,268.32544","-274.0,280.0"
"-277.02747,281.741","-274.0,280.0"
"-261.79233,265.8353","-274.0,280.0"
"-279.99774,282.12103","-274.0,280.0"
"-268.31223,275.8715","-274.0,280.0"
"-277.06238,281.43765","-274.0,280.0"
"-279.8699,279.8221","-274.0,280.0"
"-281.3396,282.83295","-274.0,280.0"
"-270.77774,275.25742","-274.0,280.0"
"-278.7291,281.07397","-274.0,280.0"
"-277.16397,276.91956","-274.0,280.0"
"-270.00424,278.14","-274.0,280.0"
"-289.14404,291.46915","-274.0,280.0"
"-277.36685,284.08524","-274.0,280.0"
"-274.25113,272.67557","-274.0,280.0"
"-278.45322,272.1465","-274.0,280.0"
"-269.23102,276.61072","-274.0,280.0"
"-277.08224,270.86343","-274.0,280.0"
"-276.0409,277.30185","-274.0,280.0"
"-270.93216,270.64438","-274.0,280.0"
"-268.97174,273.28876","-274.0,280.0"
"-272.73883,277.61","-274.0,280.0"
"-274.03278,277.22443","-274.0,280.0"
"-277.06238,281.43765","-274.0,280.0"
"-267.1352,273.56207","-274.0,280.0"
"-288.3435,309.88605","-274.0,280.0"
"-285.45364,288.801","-274.0,280.0"
"-293.7808,293.47476","-274.0,280.0"
"-271.6549,277.99304","-274.0,280.0"
"-285.24246,290.49106","-274.0,280.0"
"-267.13797,271.50058","-274.0,280.0"
"-271.7926,273.71982","-274.0,280.0"
"-274.92902,275.7465","-274.0,280.0"
"-274.13272,269.37378","-274.0,280.0"
"-283.5181,267.58905","-274.0,280.0"
"-274.4535,281.6172","-274.0,280.0"
"-280.84796,267.855","-274.0,280.0"
"-274.68234,275.64584","-274.0,280.0"
"-272.81012,275.8934","-274.0,280.0"
"-274.49332,280.53165","-274.0,280.0"
"-281.19485,279.45068","-274.0,280.0"
"-277.08533,283.8521","-274.0,280.0"
"-268.55643,274.85162","-274.0,280.0"
"-268.1093,271.195","-274.0,280.0"
