ans,label
"-260.99112,265.75412","-274.0,280.0"
"-267.0427,263.70615","-274.0,280.0"
"-257.3597,266.82224","-274.0,280.0"
"-263.00925,267.2227","-274.0,280.0"
"-260.16632,270.7456","-274.0,280.0"
"-257.00574,266.82684","-274.0,280.0"
"-261.33484,271.2933","-274.0,280.0"
"-265.6921,263.78302","-274.0,280.0"
"-267.97934,275.03452","-274.0,280.0"
"-280.74927,295.61328","-274.0,280.0"
"-288.2136,290.3272","-274.0,280.0"
"-269.5987,285.58893","-274.0,280.0"
"-277.68088,280.59497","-274.0,280.0"
"-259.0512,269.7231","-274.0,280.0"
"-266.5237,269.47357","-274.0,280.0"
"-258.2468,266.00165","-274.0,280.0"
"-274.78247,278.74402","-274.0,280.0"
"-259.68253,269.31396","-274.0,280.0"
"-260.60223,269.81064","-274.0,280.0"
"-257.99753,263.7554","-274.0,280.0"
"-263.88947,267.08835","-274.0,280.0"
"-254.07922,264.97577","-274.0,280.0"
"-260.47772,267.7701","-274.0,280.0"
"-275.2866,285.6451","-274.0,280.0"
"-287.63773,288.11566","-274.0,280.0"
"-270.3147,285.43866","-274.0,280.0"
"-266.0729,273.3895","-274.0,280.0"
"-260.75922,271.46527","-274.0,280.0"
"-260.60223,269.81064","-274.0,280.0"
"-265.7653,275.87726","-274.0,280.0"
"-271.63068,285.44073","-274.0,280.0"
"-253.90771,271.69232","-274.0,280.0"
"-258.5414,269.30698","-274.0,280.0"
"-263.30698,265.789","-274.0,280.0"
"-260.01492,268.03586","-274.0,280.0"
"-307.7086,308.30292","-274.0,280.0"
"-275.86954,287.7261","-274.0,280.0"
"-265.40402,276.80478","-274.0,280.0"
"-271.98145,287.33032","-274.0,280.0"
"-253.13297,272.40186","-274.0,280.0"
"-249.77344,282.0345","-274.0,280.0"
"-262.53317,270.6864","-274.0,280.0"
"-265.09915,278.88217","-274.0,280.0"
"-293.4745,299.32166","-274.0,280.0"
"-272.79236,287.15692","-274.0,280.0"
"-298.90836,300.95038","-274.0,280.0"
"-262.27142,276.5193","-274.0,280.0"
"-289.30582,294.26813","-274.0,280.0"
"-276.1685,282.6049","-274.0,280.0"
"-267.16953,274.01157","-274.0,280.0"
"-240.15935,271.3729","-274.0,280.0"
"-262.90768,267.15585","-274.0,280.0"
"-262.36365,269.4035","-274.0,280.0"
"-264.29404,269.5484","-274.0,280.0"
"-248.65451,271.66647","-274.0,280.0"
"-260.75613,267.18173","-274.0,280.0"
"-268.86914,285.19995","-274.0,280.0"
"-274.86,278.75867","-274.0,280.0"
"-259.09378,261.4605","-274.0,280.0"
"-263.2573,265.4533","-274.0,280.0"
"-266.77048,282.14777","-274.0,280.0"
"-293.4745,299.32166","-274.0,280.0"
"-257.4794,271.16913","-274.0,280.0"
"-287.84647,308.2141","-274.0,280.0"
"-320.76144,302.71747","-274.0,280.0"
"-324.95224,310.60492","-274.0,280.0"
"-269.92496,275.25824","-274.0,280.0"
"-272.01144,280.19623","-274.0,280.0"
"-270.97534,270.4809","-274.0,280.0"
"-262.1415,265.3732","-274.0,280.0"
"-280.68198,294.651","-274.0,280.0"
"-278.01114,281.60052","-274.0,280.0"
"-286.519,300.4472","-274.0,280.0"
"-268.03894,271.96756","-274.0,280.0"
"-264.33298,281.9468","-274.0,280.0"
"-257.81796,265.2339","-274.0,280.0"
"-262.77457,282.42227","-274.0,280.0"
"-267.61493,280.81476","-274.0,280.0"
"-270.5771,281.17224","-274.0,280.0"
"-268.4902,279.7785","-274.0,280.0"
"-257.53555,275.27106","-274.0,280.0"
"-259.3667,269.48306","-274.0,280.0"
"-274.5411,287.22552","-274.0,280.0"
"-255.9404,278.37396","-274.0,280.0"
"-259.55768,275.51926","-274.0,280.0"
"-261.83728,273.58734","-274.0,280.0"
"-266.71732,283.24512","-274.0,280.0"
"-267.38165,288.55273","-274.0,280.0"
"-265.6523,278.8468","-274.0,280.0"
"-226.84915,266.32117","-274.0,280.0"
"-275.3832,285.50717","-274.0,280.0"
"-258.6343,274.75873","-274.0,280.0"
"-274.38257,282.07483","-274.0,280.0"
"-264.02924,278.3313","-274.0,280.0"
"-264.5212,277.08774","-274.0,280.0"
"-254.00186,271.6513","-274.0,280.0"
"-261.01086,272.47922","-274.0,280.0"
"-268.86246,283.65836","-274.0,280.0"
"-259.878,268.5747","-274.0,280.0"
"-261.57776,282.45203","-274.0,280.0"
"-257.78745,270.17017","-274.0,280.0"
"-271.11215,276.29196","-274.0,280.0"
"215.23244,214.6989","263.5,280.0"
"87.1443,139.33913","263.5,280.0"
"218.81013,223.39162","263.5,280.0"
"155.8378,156.81075","263.5,280.0"
"177.9932,176.94753","263.5,280.0"
"210.18707,216.39735","263.5,280.0"
"183.22287,181.69377","263.5,280.0"
"218.81013,223.39162","263.5,280.0"
"210.18707,216.39735","263.5,280.0"
"221.61801,218.09718","263.5,280.0"
"221.61801,218.09718","263.5,280.0"
"85.647934,136.96843","263.5,280.0"
"171.28876,172.3058","263.5,280.0"
"218.81013,223.39162","263.5,280.0"
"210.18707,216.39735","263.5,280.0"
"87.1443,139.33913","263.5,280.0"
"223.91437,223.93669","263.5,280.0"
"25.530926,-88.8917","263.5,280.0"
"210.18707,216.39735","263.5,280.0"
"-12.849118,-30.712736","263.5,280.0"
"105.30042,139.56374","263.5,280.0"
"201.19585,179.1118","263.5,280.0"
"203.48422,195.32416","263.5,280.0"
"95.10341,131.92444","263.5,280.0"
"16.92545,108.41754","263.5,280.0"
"203.4842,195.32416","263.5,280.0"
"16.925459,108.417534","263.5,280.0"
"101.701355,132.27435","263.5,280.0"
"16.925459,108.417534","263.5,280.0"
"186.54834,183.15791","263.5,280.0"
"222.54933,201.69757","263.5,280.0"
"165.80734,156.17732","263.5,280.0"
"-103.61916,33.679237","263.5,280.0"
"101.701355,132.27435","263.5,280.0"
"186.54834,183.15791","263.5,280.0"
"201.19585,179.1118","263.5,280.0"
"203.48422,195.32416","263.5,280.0"
"186.54834,183.15791","263.5,280.0"
"95.10341,131.92444","263.5,280.0"
"203.48422,195.32416","263.5,280.0"
"248.98692,-299.6535","263.5,280.0"
"171.65344,172.62027","263.5,280.0"
"226.70248,210.10762","263.5,280.0"
"226.70248,210.10762","263.5,280.0"
"226.70248,210.10762","263.5,280.0"
"214.01538,205.02962","263.5,280.0"
"205.53903,198.73238","263.5,280.0"
"187.25311,171.50426","263.5,280.0"
"226.70248,210.10762","263.5,280.0"
"205.53903,198.73238","263.5,280.0"
"-14.590692,79.75917","263.5,280.0"
