ans,label
"-275.62708,274.69257","-274.0,280.0"
"-269.2638,268.35223","-274.0,280.0"
"-270.72528,272.6264","-274.0,280.0"
"-272.41608,267.25293","-274.0,280.0"
"-271.70557,271.77777","-274.0,280.0"
"-266.42505,268.5932","-274.0,280.0"
"-265.0884,266.54608","-274.0,280.0"
"-266.00665,262.77536","-274.0,280.0"
"-270.21204,264.75958","-274.0,280.0"
"-273.6006,276.68683","-274.0,280.0"
"-274.40375,275.07166","-274.0,280.0"
"-263.4132,265.42413","-274.0,280.0"
"-272.60623,266.8282","-274.0,280.0"
"-263.69128,262.1136","-274.0,280.0"
"-273.02454,264.07092","-274.0,280.0"
"-271.07593,269.5036","-274.0,280.0"
"-267.53168,260.9095","-274.0,280.0"
"-268.5698,269.4687","-274.0,280.0"
"-272.58792,272.22742","-274.0,280.0"
"-270.64032,269.63788","-274.0,280.0"
"-285.92792,279.16327","-274.0,280.0"
"-273.44833,273.55457","-274.0,280.0"
"-273.28467,271.84106","-274.0,280.0"
"-267.5572,267.43573","-274.0,280.0"
"-269.4021,269.76773","-274.0,280.0"
"-270.9934,270.98486","-274.0,280.0"
"-272.25354,268.38254","-274.0,280.0"
"-265.05798,266.24805","-274.0,280.0"
"-272.58792,272.22742","-274.0,280.0"
"-276.64612,285.7785","-274.0,280.0"
"-278.46808,280.9074","-274.0,280.0"
"-263.13098,267.72925","-274.0,280.0"
"-264.9418,268.59708","-274.0,280.0"
"-272.23038,270.12775","-274.0,280.0"
"-272.54504,266.41464","-274.0,280.0"
"-306.19513,315.9047","-274.0,280.0"
"-274.08365,279.27423","-274.0,280.0"
"-266.49512,266.5161","-274.0,280.0"
"-265.5235,268.42596","-274.0,280.0"
"-266.11923,267.5465","-274.0,280.0"
"-266.62277,270.39264","-274.0,280.0"
"-268.91794,269.60068","-274.0,280.0"
"-267.0355,268.97678","-274.0,280.0"
"-287.31927,278.3133","-274.0,280.0"
"-263.60895,262.4179","-274.0,280.0"
"-289.05032,279.2052","-274.0,280.0"
"-263.8839,268.00928","-274.0,280.0"
"-278.91815,274.5653","-274.0,280.0"
"-264.32492,264.92798","-274.0,280.0"
"-267.66058,266.79816","-274.0,280.0"
"-228.93073,261.85544","-274.0,280.0"
"-270.91614,269.06915","-274.0,280.0"
"-262.4734,263.484","-274.0,280.0"
"-278.8555,269.37927","-274.0,280.0"
"-263.4487,271.75888","-274.0,280.0"
"-272.8758,271.8206","-274.0,280.0"
"-262.93304,258.99292","-274.0,280.0"
"-267.85895,267.38666","-274.0,280.0"
"-264.89307,265.41302","-274.0,280.0"
"-278.0832,270.28687","-274.0,280.0"
"-261.6674,255.43088","-274.0,280.0"
"-287.31927,278.3133","-274.0,280.0"
"-260.76263,260.5393","-274.0,280.0"
"-321.34503,330.41205","-274.0,280.0"
"-300.5701,298.74677","-274.0,280.0"
"-313.75836,291.66956","-274.0,280.0"
"-263.81464,269.6703","-274.0,280.0"
"-277.4295,277.22086","-274.0,280.0"
"-269.27026,272.5813","-274.0,280.0"
"-273.325,270.14374","-274.0,280.0"
"-274.44562,277.53253","-274.0,280.0"
"-239.5801,247.23453","-274.0,280.0"
"-276.308,277.2807","-274.0,280.0"
"-272.77734,265.11713","-274.0,280.0"
"-260.7906,265.42282","-274.0,280.0"
"-272.24313,267.12332","-274.0,280.0"
"-262.08875,261.4237","-274.0,280.0"
"-272.03488,262.51782","-274.0,280.0"
"-263.73596,263.8995","-274.0,280.0"
"-272.99786,274.92212","-274.0,280.0"
"-266.80295,271.53046","-274.0,280.0"
"-265.3614,266.85092","-274.0,280.0"
"-270.88766,277.19357","-274.0,280.0"
"-262.33047,265.3416","-274.0,280.0"
"-266.08478,269.1419","-274.0,280.0"
"-264.13464,266.90082","-274.0,280.0"
"-262.8434,263.32812","-274.0,280.0"
"-267.0731,274.71716","-274.0,280.0"
"-269.11182,270.9487","-274.0,280.0"
"-292.14423,-41.31632","-274.0,280.0"
"-262.37888,256.70337","-274.0,280.0"
"-264.09534,269.66187","-274.0,280.0"
"-254.99818,266.53455","-274.0,280.0"
"-260.40167,263.3815","-274.0,280.0"
"-266.0938,267.58075","-274.0,280.0"
"-264.95605,269.3106","-274.0,280.0"
"-266.1328,270.09506","-274.0,280.0"
"-268.43896,273.2046","-274.0,280.0"
"-264.17917,259.93835","-274.0,280.0"
"-261.22723,258.61383","-274.0,280.0"
"-261.21353,264.05728","-274.0,280.0"
"-251.87146,263.21152","-274.0,280.0"
"253.23895,246.3075","263.5,280.0"
"212.63445,211.699","263.5,280.0"
"264.1651,250.33276","263.5,280.0"
"200.43541,177.92438","263.5,280.0"
"229.06697,216.50537","263.5,280.0"
"260.894,245.84201","263.5,280.0"
"221.44823,203.20667","263.5,280.0"
"264.1651,250.33276","263.5,280.0"
"260.894,245.84201","263.5,280.0"
"256.86584,244.62033","263.5,280.0"
"256.86584,244.62033","263.5,280.0"
"214.47919,211.86942","263.5,280.0"
"212.14334,192.155","263.5,280.0"
"264.1651,250.33276","263.5,280.0"
"260.894,245.84201","263.5,280.0"
"212.63445,211.699","263.5,280.0"
"261.99698,249.27806","263.5,280.0"
"130.93645,-35.70046","263.5,280.0"
"260.894,245.84201","263.5,280.0"
"48.275978,19.344814","263.5,280.0"
"211.1666,209.91635","263.5,280.0"
"250.28532,197.59076","263.5,280.0"
"259.9685,218.09773","263.5,280.0"
"220.65001,193.5682","263.5,280.0"
"204.71196,181.2103","263.5,280.0"
"259.9685,218.09775","263.5,280.0"
"204.71198,181.21031","263.5,280.0"
"223.4514,187.727","263.5,280.0"
"204.71198,181.21031","263.5,280.0"
"249.28024,208.33159","263.5,280.0"
"264.95868,222.83948","263.5,280.0"
"234.69421,180.99342","263.5,280.0"
"40.394753,88.44532","263.5,280.0"
"223.4514,187.727","263.5,280.0"
"249.28024,208.33159","263.5,280.0"
"250.28532,197.59076","263.5,280.0"
"259.9685,218.09773","263.5,280.0"
"249.28024,208.33159","263.5,280.0"
"220.65001,193.5682","263.5,280.0"
"259.9685,218.09773","263.5,280.0"
"264.06207,-289.97925","263.5,280.0"
"228.35353,216.32605","263.5,280.0"
"239.86705,221.71954","263.5,280.0"
"239.86705,221.71954","263.5,280.0"
"239.86705,221.71954","263.5,280.0"
"246.4216,230.23973","263.5,280.0"
"245.78781,231.2703","263.5,280.0"
"205.96652,190.67311","263.5,280.0"
"239.86705,221.71954","263.5,280.0"
"245.78781,231.2703","263.5,280.0"
"120.486885,127.40906","263.5,280.0"
"245.78781,231.2703","263.5,280.0"
"232.70813,214.67154","263.5,280.0"
"239.86705,221.71954","263.5,280.0"
"245.78781,231.2703","263.5,280.0"
"245.78781,231.2703","263.5,280.0"
"140.78198,123.25993","263.5,280.0"
"245.78781,231.27031","263.5,280.0"
"245.78781,231.2703","263.5,280.0"
"88.078156,68.31088","263.5,280.0"
"126.229904,119.70189","263.5,280.0"
"260.77582,244.93745","263.5,280.0"
"134.5289,132.30917","263.5,280.0"
"129.40132,123.767395","263.5,280.0"
"268.82983,248.16245","263.5,280.0"
"252.05637,241.33853","263.5,280.0"
"257.7552,243.5872","263.5,280.0"
"241.52933,233.57452","263.5,280.0"
"252.05637,241.33853","263.5,280.0"
"252.05637,241.33853","263.5,280.0"
"-100.53972,-151.83607","263.5,280.0"
