ans,label
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-270.7705993652344,276.0270690917969","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-276.665771484375,261.88433837890625","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-271.1788635253906,276.0270690917969","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-270.7705993652344,276.0270690917969","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-271.1788635253906,289.93572998046875","-274.0,280.0"
"-261.27593994140625,276.39666748046875","-274.0,280.0"
"-276.665771484375,276.0270690917969","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-271.5331115722656,276.0562744140625","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-271.5331115722656,276.0562744140625","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-271.5331115722656,276.0562744140625","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-271.5331115722656,276.0562744140625","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-261.27593994140625,276.39666748046875","-274.0,280.0"
"-261.27593994140625,276.39666748046875","-274.0,280.0"
"-261.27593994140625,276.39666748046875","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-272.3289489746094,262.4115905761719","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-276.665771484375,276.0270690917969","-274.0,280.0"
"-272.3289489746094,274.90325927734375","-274.0,280.0"
"-276.665771484375,276.0270690917969","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-276.665771484375,276.0270690917969","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-275.12109375,276.0270690917969","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-275.12109375,276.0270690917969","-274.0,280.0"
"-272.3289489746094,276.8355407714844","-274.0,280.0"
"-275.12109375,276.0270690917969","-274.0,280.0"
"-272.3289489746094,276.8355407714844","-274.0,280.0"
"-276.665771484375,276.0270690917969","-274.0,280.0"
"-270.3519592285156,275.2502746582031","-274.0,280.0"
"-271.1788635253906,276.0270690917969","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-310.6972351074219,259.58636474609375","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-276.665771484375,276.0270690917969","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-276.665771484375,276.0270690917969","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-276.665771484375,276.0270690917969","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-271.1788635253906,276.0270690917969","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-271.1788635253906,276.0270690917969","-274.0,280.0"
"-272.3289489746094,276.8355407714844","-274.0,280.0"
"-271.1788635253906,276.0270690917969","-274.0,280.0"
"-282.2221374511719,267.7748107910156","-274.0,280.0"
"-255.99966430664062,274.26324462890625","-274.0,280.0"
"-282.2221374511719,267.7748107910156","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-261.8809814453125,277.8382568359375","-274.0,280.0"
"-272.3289489746094,276.39666748046875","-274.0,280.0"
"-276.665771484375,289.93572998046875","-274.0,280.0"
