ans,label
"-268.004150390625,274.86749267578125","-274.0,280.0"
"-258.5651550292969,297.60748291015625","-274.0,280.0"
"-269.3119201660156,286.6828308105469","-274.0,280.0"
"-269.3119201660156,272.6197509765625","-274.0,280.0"
"-274.7718200683594,294.0190124511719","-274.0,280.0"
"-274.7718200683594,284.04803466796875","-274.0,280.0"
"-268.8244934082031,197.70057678222656","-274.0,280.0"
"-276.6562194824219,307.7474670410156","-274.0,280.0"
"-264.23883056640625,301.3919982910156","-274.0,280.0"
"-288.630615234375,299.3984375","-274.0,280.0"
"271.27392578125,231.6207733154297","263.5,280.0"
"62.688419342041016,112.22059631347656","263.5,280.0"
"262.7433166503906,221.94447326660156","263.5,280.0"
"257.2834167480469,252.9904022216797","263.5,280.0"
"211.83126831054688,93.94102478027344","263.5,280.0"
"250.21966552734375,303.4200744628906","263.5,280.0"
"248.78378295898438,211.03494262695312","263.5,280.0"
"159.76473999023438,-31.86919403076172","263.5,280.0"
"266.71234130859375,169.03395080566406","263.5,280.0"
"269.5867004394531,132.743896484375","263.5,280.0"
"299.2720642089844,241.65992736816406","263.5,280.0"
"-263.8664855957031,-11.290565490722656","-274.0,0.0"
"-266.8562316894531,11.342267036437988","-274.0,0.0"
"-268.2921447753906,-8.483888626098633","-274.0,0.0"
"-267.2398986816406,-8.483888626098633","-274.0,0.0"
"-266.8562316894531,7.87853479385376","-274.0,0.0"
"-268.2921447753906,3.8842930793762207","-274.0,0.0"
"-265.6843566894531,45.22125244140625","-274.0,0.0"
"-268.2921447753906,-16.926128387451172","-274.0,0.0"
"-268.2921447753906,16.465085983276367","-274.0,0.0"
"-268.2921447753906,44.764469146728516","-274.0,0.0"
"129.0797119140625,73.41160583496094","-274.0,0.0"
"-99.04066467285156,-157.0200653076172","-274.0,0.0"
"235.94891357421875,16.431419372558594","263.5,0.0"
"227.92356872558594,-12.026618957519531","263.5,0.0"
"250.02081298828125,22.106666564941406","263.5,0.0"
"259.9143981933594,-95.64083099365234","263.5,0.0"
"135.31407165527344,-109.943115234375","263.5,0.0"
"235.04916381835938,-69.57625579833984","263.5,0.0"
"0.25010037422180176,-158.35189819335938","263.5,0.0"
"-1.9381942749023438,-76.96814727783203","263.5,0.0"
"176.82789611816406,-36.48386764526367","263.5,0.0"
"222.80682373046875,-58.767608642578125","263.5,0.0"
"154.26979064941406,-52.3226203918457","263.5,0.0"
"218.9576416015625,-90.61598205566406","263.5,0.0"
"306.2176208496094,-16.387454986572266","263.5,0.0"
"202.65606689453125,-181.7202606201172","263.5,0.0"
"148.43653869628906,-95.0110092163086","263.5,0.0"
"241.51202392578125,-100.28839111328125","263.5,0.0"
"197.11180114746094,-86.08893585205078","263.5,0.0"
"-106.09735107421875,75.51194763183594","-274.0,-317.0"
"-76.14704132080078,-34.935245513916016","-274.0,-317.0"
"-107.40447998046875,35.69636917114258","-274.0,-317.0"
"-165.38272094726562,-148.72792053222656","-274.0,-317.0"
"-144.73951721191406,-146.8534393310547","-274.0,-317.0"
"-121.9473876953125,-137.9683837890625","-274.0,-317.0"
"-12.776378631591797,-3.309560775756836","-274.0,-317.0"
"-144.45150756835938,-107.4166259765625","-274.0,-317.0"
"-276.7173156738281,-247.9178009033203","-274.0,-317.0"
"-79.65170288085938,-159.28384399414062","-274.0,-317.0"
"-172.9824676513672,-288.05780029296875","-274.0,-317.0"
"-286.09442138671875,-217.51983642578125","-274.0,-317.0"
"-51.11899948120117,-197.99571228027344","-274.0,-317.0"
"38.076297760009766,-189.54141235351562","-274.0,-317.0"
"-122.71009826660156,-233.6710205078125","-274.0,-317.0"
"-104.37284851074219,-161.93545532226562","-274.0,-317.0"
"41.76564407348633,-43.02157211303711","-274.0,-317.0"
"258.95147705078125,-323.6449279785156","263.5,-317.0"
"265.3144226074219,-293.84136962890625","263.5,-317.0"
"249.87899780273438,-294.5392150878906","263.5,-317.0"
"260.5339050292969,-286.17816162109375","263.5,-317.0"
"258.95147705078125,-317.91033935546875","263.5,-317.0"
"241.36505126953125,-327.69061279296875","263.5,-317.0"
"259.9143981933594,-283.97198486328125","263.5,-317.0"
"252.998046875,-240.78065490722656","263.5,-317.0"
"241.36505126953125,-305.6466369628906","263.5,-317.0"
"261.2469177246094,-331.8471374511719","263.5,-317.0"
"259.9143981933594,-304.86224365234375","263.5,-317.0"
"259.9143981933594,-270.0234375","263.5,-317.0"
"259.9143981933594,-300.75238037109375","263.5,-317.0"
"259.9143981933594,-317.91033935546875","263.5,-317.0"
"287.1893310546875,-295.4873352050781","263.5,-317.0"
